Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;SOL5;Sum;Average;ID
Lončar;Naja;OK Komenda;Ž14;;;;;;;;;0;0;885
Malus;Vita;OK Komenda;Ž16;0:42:27;1;25;20;25;25;25;25;75;25;898
Gnezda;Neža;OK Azimut;Ž16;;;;25;*;;;;25;25;1111
Anderluh;Ana Maja;OK Polaris;Ž16;;;;;;;;;0;0;813
Ferenc;Tinka;OK Tivoli;Ž16;;;;;;;;;0;0;727
Kunc;Mojca;OK Tivoli;Ž16;;;;;;*;*;;0;0;774
Ilovar;Pia;OK Tivoli;Ž16;;;;;;;;;0;0;836
Ugrin;Nikolina;OK Tivoli;Ž16;wrongKat;;;;;*;*;*;0;0;988
Mahkovec;Klara;PD Ajdovščina;Ž16;;;;;;;;;0;0;1024
Ravnikar;Nika;OK Komenda;Ž18;0:46:35;1;25;20;20;25;25;25;75;25;441
Tušar;Teja;OK Azimut;Ž18;;;;25;25;;;;50;25;735
Leban;Manja;OK Azimut;Ž18;0:54:45;2;20;15;15;;;20;50;17;783
Pust;Karin;OK Komenda;Ž18;;;;-;-;20;20;;40;20;837
Bogataj;Pia;OK Azimut;Ž18;;;;12;12;;;;24;12;1119
Razpet;Tajda;OK Azimut;Ž18;;;;;;;;;0;0;1009
Mohorič;Lana;OK Azimut;Ž18;;;;;;;;;0;0;1076
Kern;Tina;OK Komenda;Ž18;;;;;;;;;0;0;647
Škarabot;Anja;OK Polaris;Ž18;;;;;;;;;0;0;399
Anderluh;Katarina Eva;OK Polaris;Ž18;;;;;;;;;0;0;445
Ferenc;Zala;OK Tivoli;Ž18;;;;;;;;;0;0;506
Jevševar;Jedert;OK Brežice;Ž21B;0:37:04;2;20;;6;25;25;20;70;23;46
Vuga Seljak;Alenka;OK Komenda;Ž21B;;;;25;;20;;;45;22;612
Gombač Šuc;Elena;OK Komenda;Ž21B;1:01:07;3;15;12;15;10;6;15;42;14;945
Malus;Marta;OK Komenda;Ž21B;1:42:49;6;8;20;4;12;7;8;40;13;982
Gantar;Damjana;OK Azimut;Ž21B;;;;15;5;15;;;35;12;919
Bogataj;Špela;OK Komenda;Ž21B;;;;;12;5;15;;32;11;1022
Istenič;Maja;OK Azimut;Ž21B;;;;10;10;;12;;32;11;930
Lampe;Ajda;OK Komenda;Ž21B;;;;*;25;4;*;;29;14;431
Draksler;Alja;ŠOK;Ž21B;;;;;;7;20;;27;14;405
Ferenc;Julija;OK Tivoli;Ž21B;0:32:26;1;25;;;;;25;25;25;409
Kmetec;Tanja;Kamniški OK;Ž21B;1:02:39;4;12;4;;8;;12;24;8;1103
Sedej;Katarina;OK Azimut;Ž21B;1:20:11;5;10;6;7;;;10;23;8;992
Obid;Maja;OK Azimut;Ž21B;;;;8;8;;5;;21;7;933
Sluga;Neža;OK Polaris;Ž21B;wrongKat;;;;20;;;*;20;20;1096
Gorjup Poženel;Darja;OK Komenda;Ž21B;;;;;;3;10;;13;6;1025
Tušar;Tina;OK Azimut;Ž21B;;;;5;;6;;;11;6;1121
Bogataj;Nataša;OK Azimut;Ž21B;;;;;;-;8;;8;8;817
Balažič;Irena;OK Slovenj Gradec;Ž21B;;;;7;;;;;7;7;298
Štanfel;Urša;OK Azimut;Ž21B;;;;;;;;;0;0;117
Prezelj;Klavdija;OK Azimut;Ž21B;;;;;;;;;0;0;1070
Batič;Mojca;OK Azimut;Ž21B;;;;;;;;;0;0;1108
Zupan;Lara;OK Komenda;Ž21B;;;;;;*;*;;0;0;762
Šalamun;Ana;OK Polaris;Ž21B;wrongKat;;;;;;;*;0;0;332
Anžur;Andreja;OK Tivoli;Ž21B;;;;;;;;;0;0;4
Kunc Rešek;Natalija;OK Tivoli;Ž21B;;;;;;;;;0;0;900
Kalan;Petra;ŠOK;Ž21B;;;;;;;;;0;0;141
Bergant;Tjaša;ŠOK;Ž21B;;;;;;;;;0;0;1035
Cankar;Maja;ŠOK;Ž21B;;;;;;;;;0;0;1052
Pretnar;Irma;Kamniški OK;Ž21B;;;;;;;;;0;0;99
Benigar;Lidija;Kamniški OK;Ž21B;;;;;;;;;0;0;277
Flerin Drevenšek;Suzana;Kamniški OK;Ž21B;;;;;*;*;;;0;0;316
Zagorc;Tina;Kamniški OK;Ž21B;;;;;*;*;;;0;0;670
Štrumbelj;Lana;OK Polaris;Ž21B;;;;;;;;;0;0;855
Česnik Mažgon;Anita;OK Azimut;Ž21B;;;;;;;;;0;0;1133
Osterman;Eneja;OK Polaris;Ž21E;0:30:17;1;25;25;25;25;25;25;75;25;66
Flerin Drevenšek;Mojca;Kamniški OK;Ž21E;;;;20;20;10;20;;60;20;82
Jezeršek;Polona;OK Komenda;Ž21E;0:39:13;4;12;5;-;20;12;12;44;15;715
Razpet;Deja;OK Azimut;Ž21E;0:36:40;3;15;12;12;;;15;39;13;733
Pribaković Borštnik;Ana;OK Tivoli;Ž21E;0:41:37;6;8;7;8;12;15;8;35;12;23
Poljanšek;Nika;OK Azimut;Ž21E;0:43:52;7;7;8;;15;10;7;33;11;257
Jeram;Nuša;OK Azimut;Ž21E;;;;15;15;;;;30;15;421
Zavrl;Zala;OK Komenda;Ž21E;0:40:08;5;10;10;10;;;10;30;10;513
Ravnikar;Monika;OK Komenda;Ž21E;;;;6;6;8;;;20;7;357
Pogačar;Ana Pia;OK Komenda;Ž21E;0:35:59;2;20;;;;;20;20;20;515
Kmetec;Barbara;Kamniški OK;Ž21E;0:51:45;8;6;4;;-;;6;10;5;667
Serženta Seljak;Zala;OK Azimut;Ž21E;;;;;;-;8;;8;8;936
Foški;Tajda;OK Polaris;Ž21E;;;;;7;;;;7;7;129
Gantar;Lara;OK Azimut;Ž21E;;;;;;;;;0;0;673
Babič;Katja;OK Komenda;Ž21E;;;;;;;;;0;0;818
Jolič;Barbara;OK Komenda;Ž21E;;;;;;;;;0;0;1045
Foški;Brina;OK Polaris;Ž21E;;;;;;;;;0;0;128
Bernik;Jerca;ŠOK;Ž21E;;;;;;;;;0;0;22
Firešová;Markéta;OK Komenda;Ž21E;;;;;;;;;0;0;1132
Hribar;Anica;OK Brežice;Ž35;0:40:35;1;25;*;25;15;15;25;65;22;44
Močnik;Tina;OK Komenda;Ž35;0:46:43;3;15;*;;25;20;15;60;20;1032
Balažič;Petja;OK Slovenj Gradec;Ž35;0:45:24;2;20;*;;10;25;20;55;18;294
Raj;Nastja;OK Slovenj Gradec;Ž35;0:50:38;4;12;*;12;20;12;12;44;15;203
Hacin Kölner;Irena;OK Komenda;Ž35;0:51:45;5;10;*;10;8;10;10;30;10;630
Plavčak;Ana;ŠOK;Ž35;;;;*;15;12;;;27;14;401
Paradiž;Petra;OK Komenda;Ž35;0:53:31;6;8;*;8;7;8;8;24;8;912
Foški;Mojca;OK Polaris;Ž35;;;;;20;;;;20;20;59
Visinski Andrejc;Maja;OK Slovenj Gradec;Ž35;;;;;;;;;0;0;229
Mihelič Pogorelčnik;Anja;OK Slovenj Gradec;Ž35;;;;;;;;;0;0;1015
Bončina;Abigael Vanessa;OK Slovenske Konjice;Ž35;;;;;;;;;0;0;931
Mihelič Porogelčnik;Anja;OK Slovenj Gradec;Ž35;;;;;;;;;0;0;1015
Stojan;Petra;OK Komenda;Ž45;0:58:19;2;20;*;20;20;25;20;65;22;892
Poljanšek;Marjanca;OK Azimut;Ž45;0:51:34;1;25;*;;15;20;25;60;20;188
Žižek;Saša;OK Azimut;Ž45;;;;;25;25;;;50;25;110
Škarabot;Alenka;OK Polaris;Ž45;1:15:24;3;15;*;8;12;10;15;37;12;462
Vodlan;Darja;OK Polaris;Ž45;1:33:31;4;12;*;10;-;15;12;37;12;1051
Mezga;Tanja;OK Slovenj Gradec;Ž45;;;;*;12;10;12;;34;11;639
Zupan;Romana;OK Komenda;Ž45;;;;;15;;;;15;15;713
Prosen;Maja;OK Komenda;Ž45;;;;;;;;;0;0;232
Debeljak;Maruša;OK Polaris;Ž45;;;;;;;;;0;0;322
Anderluh;Marija;OK Polaris;Ž45;;;;;;;;;0;0;400
Kordiš Miheljak;Urška;OK Slovenj Gradec;Ž45;;;;;;;;;0;0;465
Pogorevčnik;Olga;OK Slovenj Gradec;Ž45;;;;;;;;;0;0;958
Fras;Tina;OK Slovenj Gradec;Ž45;;;;;;;;;0;0;1000
