Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;SOL5;SOL6;SOL7;SOL8;Sum;Average;ID
Malus;Ožbej;OK Komenda;M14;0:20:50;5;10;*;15;10;15;25;8;12;10;77;15;840
Cokan;Jan;OK Komenda;M14;0:21:43;7;7;*;10;15;;20;10;10;7;65;13;897
Seljak;Jaka;OK Komenda;M14;0:16:28;3;15;;8;8;10;;12;15;15;60;12;884
Gantar;Borut;OK Azimut;M14;0:16:47;4;12;*;12;7;;;7;8;12;46;9;920
Kremžar;Florijan;OK Komenda;M14;;;;*;7;6;8;15;5;5;;41;8;970
Česnik;Enej;OK Azimut;M14;0:21:23;6;8;*;;;;;;7;8;15;8;1080
Svetec;Staš;OK Slovenj Gradec;M14;;;;;;;;12;;;;12;12;997
Foški;Oskar;OK Polaris;M14;;;;;-;;;;6;;;6;6;878
Miheljak;Tevž;OK Slovenj Gradec;M14;;;;;;;;;;;;0;0;902
Valič;Ištvan;OK Slovenj Gradec;M14;;;;;;;;;;;;0;0;950
Seljak;Luka;OK Komenda;M16;0:26:13;1;25;25;25;25;25;25;25;-;25;125;25;613
Turk;Nejc;OK Komenda;M16;0:26:36;2;20;;;20;20;20;15;25;20;105;21;701
Gantar;Primož;OK Azimut;M16;0:30:08;3;15;20;20;15;;;20;20;15;95;19;917
Zupan;Tilen;OK Komenda;M16;;;;;;12;15;;12;15;;54;14;700
Žižek;Lev;OK Azimut;M16;;;;;;;;;;;;0;0;934
Močnik;Fedja;OK Polaris;M16;;;;;;;;;;;;0;0;654
Štifter;Matevž;OK Slovenj Gradec;M16;;;;;;;;;;;;0;0;956
Ferenc;Martin;OK Tivoli;M16;;;;;;*;*;;*;;;0;0;975
Faganel;Vid;PD Ajdovščina;M16;;;;;;;;;;*;;0;0;1041
Cigoj;Rok;PD Ajdovščina;M16;;;;;;;*;*;;*;;0;0;1068
Bratož;Matej;PD Ajdovščina;M16;;;;;;;*;*;;*;;0;0;1069
Bovcon;Matija;PD Ajdovščina;M16;;;;;;;*;*;;*;;0;0;1072
Nemeček;Gal;PD Ajdovščina;M16;;;;;;;*;*;;*;;0;0;1073
Poženel;Natan Maj;OK Komenda;M18;0:45:19;1;25;;;25;25;;;25;25;100;25;873
Jevševar;Martin;OK Brežice;M18;;;;25;25;20;-;25;-;-;;95;24;585
Hribar;Timotej;OK Brežice;M18;1:40:25;2;20;;20;;;;25;;20;65;22;823
Kunc;Matevž;OK Tivoli;M18;;;;;;15;20;20;;;;55;18;578
Groff;Žiga;OK Azimut;M18;;;;;;;;;;;;0;0;483
Obid;Aljaž;OK Azimut;M18;;;;;;;;;;;;0;0;846
Smole;Enej;OK Polaris;M18;;;;;-;;;;;;;0;0;471
Anderluh;Luka;OK Polaris;M18;;;;;;;;;*;;;0;0;474
Štern;Nejc;OK Slovenj Gradec;M18;;;;;;;;;;;;0;0;1102
Eržen;Valentin;OK Azimut;M21A;0:38:22;2;20;12;20;25;20;;25;;20;110;22;386
Cankar;Uroš;ŠOK;M21A;0:43:06;4;12;;15;15;25;25;20;20;12;105;21;1034
Pust;Tomaž;OK Komenda;M21A;0:43:03;3;15;10;25;20;15;20;15;15;15;95;19;893
Obid;Marko;OK Azimut;M21A;;;;25;12;;12;;12;12;;73;15;392
Černe;Aljaž;OK Tivoli;M21A;;;;;8;;;;*;25;;33;16;663
Škarabot;Matej;OK Polaris;M21A;0:37:06;1;25;;;;;;;;25;25;25;132
Gantar;Kristjan;OK Azimut;M21A;mp;;;20;*;*;;;*;*;-;20;20;918
Čufer;Stanko;PD Ajdovščina;M21A;wrongKat;;;15;;;*;*;*;*;*;15;15;336
Kavčič;Jure;OK Komenda;M21A;;;;;;;;;10;;;10;10;901
Golja;Elio;OK Polaris;M21A;;;;;10;;;;;;;10;10;664
Čerin;Matej;OK Tivoli;M21A;;;;;7;;;;;;;7;7;974
Knap;Franc;OK Azimut;M21A;;;;;;;;;;;;0;0;97
Močnik;Nejc;OK Azimut;M21A;;;;;;;;;;;;0;0;190
Kmetič;Sandi;OK Polaris;M21A;;;;;;;;;;;;0;0;67
Petrovič;Gašper;OK Polaris;M21A;;;;;;;;;;;;0;0;71
Šalamun;Jan;OK Polaris;M21A;;;;;;;;;;;;0;0;150
Rebolj;Aljoša;OK Polaris;M21A;;;;;;;;;*;;;0;0;711
Marot;Blaž;OK Slovenj Gradec;M21A;;;;;;;;;;;;0;0;290
Furman;Zoran;OK Slovenske Konjice;M21A;;;;;;;;;;;;0;0;5
Pobega;Davor;OK Tivoli;M21A;wrongKat;;;;;*;*;*;*;*;*;0;0;1038
Kete;Ivo;PD Ajdovščina;M21A;wrongKat;;;;;;*;;*;*;*;0;0;412
Boyadzhiev ml.;Ivan;MOK;M21A;;;;;;;;;;;;0;0;590
Pretnar;Janez;Kamniški OK;M21A;;;;;;;;;;;;0;0;102
Pirnat;Tomaž;OK Slovenj Gradec;M21A;;;;;;;;;;;;0;0;1131
Šuc;Timotej;OK Komenda;M21B;0:44:57;6;8;20;15;25;10;25;25;;8;110;22;946
Kurinčič;Simon;OK Komenda;M21B;0:47:17;7;7;25;20;20;25;15;;;7;105;21;838
Kenda;Klemen;OK Azimut;M21B;0:34:29;1;25;12;25;15;12;20;;;25;97;19;1
Malus;Franc;OK Komenda;M21B;0:40:06;4;12;7;12;8;20;12;20;15;12;79;16;904
Jarc;Andrej;OK Komenda;M21B;0:48:20;8;6;;;12;15;-;;20;6;53;13;1086
Vidič;Matej;OK Azimut;M21B;1:17:24;10;4;15;;10;7;10;;-;4;46;9;757
Bizjak;Boštjan;OK Azimut;M21B;1:37:49;11;3;4;;-;6;;8;25;3;46;9;1107
Seljak;Borut;OK Komenda;M21B;0:34:52;2;20;;;;;;15;-;20;35;18;721
Bogataj;Boštjan;OK Azimut;M21B;0:39:21;3;15;;;-;8;;12;;15;35;12;765
Leskovšek;Gregor;OK Tivoli;M21B;;;;;;7;5;8;*;;;20;7;1124
Korelc;Andrej;OK Komenda;M21B;;;;6;;;;;10;;;16;8;756
Drešček;Andraž;OK Azimut;M21B;0:51:10;9;5;8;;;;;;;5;13;6;481
Petkovšek;Gal;OK Azimut;M21B;;;;10;;;;;;;;10;10;370
Podobnik;Primož;OK Azimut;M21B;0:44:52;5;10;;;;;;;;10;10;10;961
Erznožnik;Matic;OK Azimut;M21B;;;;5;;;;;;-;;5;5;729
Kacin;Emil;OK Azimut;M21B;;;;;;;;;;;;0;0;96
Močnik;Rok;OK Azimut;M21B;;;;;;;;;;;;0;0;191
Knap;Črtomir;OK Azimut;M21B;;;;;;;;;;;;0;0;198
Koprivc;Matjaž;OK Azimut;M21B;;;;;;;;;;;;0;0;239
Nelson;Charles;OK Azimut;M21B;;;;;;;;;;;;0;0;643
Kupnik;Tomaž;OK Azimut;M21B;;;;;;;;;;;;0;0;1118
Zavrl;Janez;OK Komenda;M21B;;;;;;;;;;;;0;0;610
Smole;Juš;OK Polaris;M21B;;;;;;;;;;;;0;0;317
Smole;Brin;OK Polaris;M21B;;;;;;;;;;;;0;0;318
Močnik;Griša;OK Polaris;M21B;;;;;;;;;;;;0;0;321
Močnik;Saš;OK Polaris;M21B;;;;;;;;;;;;0;0;323
Zibelnik;Klemen;OK Polaris;M21B;;;;;;;;;;;;0;0;1115
Andrejc;Klemen;OK Slovenj Gradec;M21B;;;;;;;;;;;;0;0;216
Ferenc;Aleš;OK Tivoli;M21B;wrongKat;;;;;*;*;*;*;*;*;0;0;418
Draksler;Matjaž;ŠOK;M21B;;;;;;*;*;;;;;0;0;144
Plavčak;Luka;ŠOK;M21B;;;;;;;;;;;;0;0;697
Blaž;Matic;OK Komenda;M21E;0:32:18;1;25;10;12;25;;20;20;25;25;115;23;520
Hvala;Gregor;OK Azimut;M21E;0:41:15;2;20;15;-;15;25;15;15;;20;90;18;424
Stanonik;Simon;OK Azimut;M21E;1:00:14;6;8;12;25;;;25;;;8;70;18;620
Tušar;Peter;OK Azimut;M21E;;;;20;20;;;;25;;;65;22;419
Ravnikar;Žan;OK Azimut;M21E;0:43:16;3;15;;;;;12;;15;15;42;14;397
Bogovič;Vid;OK Brežice;M21E;;;;;*;20;;10;;12;;42;14;47
Zmrzlikar;Jure;OK Komenda;M21E;;;;;10;;20;;12;;;42;14;72
Bogataj;Mark;OK Azimut;M21E;;;;25;15;;;;;;;40;20;677
Petrovič;Blaž;OK Polaris;M21E;0:43:37;4;12;;;;15;;;;12;27;14;70
Čufer;David;PD Ajdovščina;M21E;0:56:41;5;10;;;12;;;;*;10;22;11;337
Hribar;Andraž;OK Brežice;M21E;;;;;;;;;;20;;20;20;45
Zorman;Jernej;OK Komenda;M21E;;;;;;;;;10;;;10;10;276
Kračun;Rajko;Kamniški OK;M21E;;;;;*;10;;;*;;;10;10;133
Barrable;Nick;OK Azimut;M21E;;;;8;;;;;;;;8;8;1120
Koštejn;Vít;OK Komenda;M21E;;;;;;;;;8;;;8;8;1129
Andrejc;Žiga;OK Slovenj Gradec;M21E;;;;7;;;;;;;;7;7;470
Lapajne;Jošt;OK Azimut;M21E;;;;;;;;;;;;0;0;363
Gantar;Tjaž;OK Azimut;M21E;;;;;;;;;;;;0;0;536
Štanfel;Matjaž;OK Azimut;M21E;;;;;;;;;;;;0;0;769
Piltaver;Jaka;OK Brežice;M21E;;;;;;;;;;;;0;0;57
Razum;Matija;OK Brežice;M21E;;;;;;;;;;;;0;0;960
Pišljar;Jaka;OK Polaris;M21E;;;;;-;;;;;;;0;0;77
Cesar;Jaka;OK Slovenj Gradec;M21E;;;;;;;;;;;;0;0;1043
Borštnik;Andrej;OK Tivoli;M21E;;;;;;;;;;;;0;0;25
Arnuš;Matej;ŠOK;M21E;;;;;;;;;;;;0;0;1116
Kokelj;Denis;Kamniški OK;M21E;;;;;;;;;;;;0;0;436
Kölner;Blaž;OK Komenda;M35;0:34:20;1;25;*;25;25;20;25;25;15;25;125;25;556
Kremžar;Tomaž;OK Komenda;M35;0:37:06;2;20;*;8;7;10;12;15;25;20;82;16;910
Gavrilov;Igor;OK Komenda;M35;;;;*;20;15;25;20;;;;80;20;967
Jevševar;Bojan;OK Brežice;M35;;;;*;15;20;;10;20;;;65;16;43
Churkin;Sergey;OK Komenda;M35;;;;*;-;10;15;15;12;10;;62;12;1093
Bačnar;Janko;OK Azimut;M35;0:37:39;3;15;*;12;12;;;;20;15;59;15;104
Sedej;Matej;OK Azimut;M35;;;;*;7;8;;7;;12;;34;8;108
Petrovič;Dušan;OK Polaris;M35;;;;;10;;12;;;;;22;11;69
Lebar;Bojan;Kamniški OK;M35;;;;;;5;;;10;;;15;8;1128
Bončina;Igor;OK Slovenske Konjice;M35;wrongKat;;;*;5;6;;*;*;;*;11;6;98
Anderluh;Gregor;OK Polaris;M35;;;;;;;;8;;;;8;8;155
Andrejc;David;OK Slovenj Gradec;M35;;;;*;4;4;-;;;;;8;4;289
Osterman;Natan;OK Polaris;M35;;;;;6;;;;;;;6;6;1033
Pritržnik;Tomaž;OK Slovenj Gradec;M35;;;;;3;;;;;;;3;3;957
Andrejc;Gregor;OK Slovenj Gradec;M35;;;;;;;;;;;;0;0;214
Cokan;Samo;OK Slovenj Gradec;M35;;;;;;;;;;;;0;0;217
Zanoškar;Marko;OK Slovenj Gradec;M35;;;;;;;;;;;;0;0;640
Pogorelčnik;Primož;OK Slovenj Gradec;M35;;;;;;;;;;;;0;0;854
Lebar;Daniel;OK Slovenske Konjice;M35;;;;;;;;;;;;0;0;6
Bauman;Boris;MOK;M35;;;;;;;;;;;;0;0;62
Kolman;Miran;Kamniški OK;M35;;;;;;;;;;;;0;0;123
Kurtanjek;Luka;OK Azimut;M35;;;;;;;;;;*;;0;0;1135
Poljanšek;Aleš;OK Azimut;M45;0:33:16;1;25;*;25;25;25;25;20;20;25;125;25;176
Zupan;Gregor;OK Komenda;M45;;;;*;7;;10;7;25;25;;74;15;712
Škarabot;Miha;OK Polaris;M45;0:44:52;3;15;;20;-;15;20;;;15;70;18;54
Dudić;Marko;OK Slovenj Gradec;M45;;;;*;10;12;20;10;15;;;67;13;467
Raj;Gregor;OK Slovenj Gradec;M45;;;;*;15;20;12;15;;;;62;16;282
Eržen;Boris;ŠOK;M45;0:41:42;2;20;*;4;8;8;8;*;;20;48;10;559
Kunc;Robert;OK Tivoli;M45;dnf;;;*;12;7;7;12;;;-;38;10;726
Savinšek;Primož;OK Polaris;M45;;;;;5;10;;;12;;;27;9;134
Cimerman;Andrej;OK Polaris;M45;;;;;-;15;;;10;;;25;12;444
Foški;Valter;OK Polaris;M45;;;;;8;6;;;8;;;22;7;58
Benko;Robert;OK Polaris;M45;;;;;3;5;;;7;;;15;5;151
Jazbar;Jožko;OK Azimut;M45;;;;;6;;;;;;;6;6;106
Miheljak;Blaž;OK Slovenj Gradec;M45;;;;;;;;;;;;0;0;283
Keresteš;Krešo;OK Trzin;M45;;;;;;;;;;;;0;0;3
Borštnik;Aleš;OK Tivoli;M55;0:41:28;2;20;*;25;;25;25;;20;20;115;23;24
Leban;Marijan;OK Azimut;M55;0:49:59;3;15;*;20;20;;15;20;15;15;90;18;186
Močnik;Silvij;OK Azimut;M55;0:35:28;1;25;*;;25;;;;25;25;75;25;193
Smole;Dušan;OK Polaris;M55;;;;*;12;-;20;20;;;;52;17;472
Babič;Silvo;OK Komenda;M55;;;;*;;;;;25;12;;37;18;914
Čerin;Aleš;OK Tivoli;M55;;;;;15;;15;;;;;30;15;587
Sladič;Roman;ŠOK;M55;1:45:19;4;12;;;;;;;;12;12;12;39
Šalamun;Miro;OK Polaris;M55;;;;;;;;;;;;0;0;2
Zupan;Aleš;OK Polaris;M55;;;;;;;;;;;;0;0;55
Radovan;Dalibor;OK Polaris;M55;;;;;;;;;;;;0;0;148
Andrejc;Hinko;OK Slovenj Gradec;M55;;;;;;;;;;;;0;0;230
Sedej;Vlado;OK Azimut;M65;0:37:51;1;25;;;25;20;25;20;25;25;120;24;118
Lapajne;Janko;OK Azimut;M65;0:56:16;2;20;*;25;20;25;;25;20;20;115;23;105
Vodovnik;Mirko;OK Slovenj Gradec;M65;;;;;;;;;;;;0;0;288
Pirman;Srečo;ŠOK;M65;;;;;;;;;;;;0;0;139
Boyadzhiev;Ivan;MOK;M65;;;;;*;;*;;;;;0;0;635
Jeraj;Mija;OK Komenda;Ž10;0:06:11;1;25;;20;12;20;;20;25;25;110;22;1040
Šuc;Teja;OK Komenda;Ž10;0:06:29;2;20;*;15;25;25;20;12;;20;105;21;1001
Kurinčič;Jerca;OK Komenda;Ž10;0:07:04;4;12;;25;20;15;25;15;8;12;100;20;996
Bizjak;Julija;OK Azimut;Ž10;0:06:30;3;15;*;;15;12;;25;20;15;87;17;1054
Kremžar;Katarina;OK Komenda;Ž10;0:09:55;6;8;*;;8;10;;10;15;8;51;10;1089
Poženel;Leila Ema;OK Komenda;Ž10;0:14:48;7;7;;;10;8;;;10;7;35;9;1002
Prezelj;Timeja;OK Azimut;Ž10;0:07:49;5;10;;;;;*;;12;10;22;11;1059
Raj;Ida Antonija;OK Slovenj Gradec;Ž10;;;;;;*;*;15;;;;15;15;1105
Markovič;Inga;OK Slovenj Gradec;Ž10;;;;;;*;*;12;;;;12;12;1125
Jazbar;Zana;OK Azimut;Ž10;;;;;;;;;;;;0;0;1113
Kerčmar;Ajda;OK Azimut;Ž10;;;;;;;;;;;;0;0;1114
Lenart;Vilina;OK Slovenj Gradec;Ž10;;;;;;;;;;;;0;0;1066
Kovše;Klara;OK Slovenj Gradec;Ž10;;;;;;;;;;;;0;0;1104
Jeraj;Ajda;OK Komenda;Ž12;0:15:35;3;15;;25;25;20;;20;15;15;105;21;896
Eržen;Nika;OK Azimut;Ž12;0:10:49;1;25;*;12;-;12;;25;25;25;99;20;984
Gantar;Brina;OK Azimut;Ž12;0:14:28;2;20;*;10;20;;;12;20;20;82;16;1003
Jarc;Ajda;OK Komenda;Ž12;;;;*;15;15;15;;15;;;60;15;1029
Raj;Lili Ivana;OK Slovenj Gradec;Ž12;;;;*;20;-;25;-;;;;45;22;949
Mezga;Frida;OK Slovenj Gradec;Ž12;;;;;;-;10;;10;;;20;10;979
Vrtnik;Taja;OK Komenda;Ž12;0:18:37;4;12;;;;;;;;12;12;12;1136
Žižek;Zarja;OK Azimut;Ž12;;;;;;;;;;;;0;0;994
Andrejc;Miša;OK Slovenj Gradec;Ž12;;;;;;;;-;;;;0;0;1016
Mlakar;Alicija;OK Slovenj Gradec;Ž12;;;;;;;;;;;;0;0;1065
Eržen;Nea;OK Azimut;Ž14;0:12:13;1;25;*;25;20;25;;20;25;25;120;24;597
Obid;Neža;OK Azimut;Ž14;0:12:54;2;20;*;20;12;20;;25;20;20;105;21;847
Kölner;Brina;OK Komenda;Ž14;0:18:58;4;12;*;15;25;15;25;15;15;12;95;19;803
Majdič;Špela;OK Azimut;Ž14;0:16:26;3;15;*;12;15;12;;12;10;15;66;13;987
Močnik;Jana;OK Azimut;Ž14;0:27:12;5;10;*;10;10;8;;10;12;10;52;10;973
Raj;Ema Pika;OK Slovenj Gradec;Ž14;;;;*;8;8;10;20;;;;46;12;853
Gantar;Larisa;OK Azimut;Ž14;;;;;;;;;;;;0;0;1109
Majnik;Dunja;OK Azimut;Ž14;;;;;;;;;;;;0;0;1110
Kern;Patricija;OK Komenda;Ž14;;;;;;;;;;;;0;0;883
Lončar;Naja;OK Komenda;Ž14;;;;;;;;;;;;0;0;885
Malus;Vita;OK Komenda;Ž16;;;;20;25;25;25;25;20;25;;100;25;898
Gnezda;Neža;OK Azimut;Ž16;;;;25;*;;;;25;20;;70;23;1111
Anderluh;Ana Maja;OK Polaris;Ž16;;;;;;;;;*;;;0;0;813
Ferenc;Tinka;OK Tivoli;Ž16;;;;;;;;;;;;0;0;727
Kunc;Mojca;OK Tivoli;Ž16;;;;;;*;*;;;;;0;0;774
Ilovar;Pia;OK Tivoli;Ž16;;;;;;;;;;;;0;0;836
Ugrin;Nikolina;OK Tivoli;Ž16;;;;;;*;*;*;*;*;;0;0;988
Mahkovec;Klara;PD Ajdovščina;Ž16;;;;;;;;;;*;;0;0;1024
Ravnikar;Nika;OK Komenda;Ž18;0:42:06;1;25;20;20;25;25;25;15;25;25;125;25;441
Tušar;Teja;OK Azimut;Ž18;0:47:35;2;20;25;25;;;;25;-;20;95;24;735
Leban;Manja;OK Azimut;Ž18;0:58:03;4;12;15;15;;;20;10;15;12;77;15;783
Pust;Karin;OK Komenda;Ž18;1:01:34;5;10;-;-;20;20;;-;;10;50;17;837
Mohorič;Lana;OK Azimut;Ž18;0:52:49;3;15;;;;;;12;20;15;47;16;1076
Bogataj;Pia;OK Azimut;Ž18;;;;12;12;;;;20;-;;44;15;1119
Škarabot;Anja;OK Polaris;Ž18;;;;;;;;;8;;;8;8;399
Razpet;Tajda;OK Azimut;Ž18;;;;;;;;;;;;0;0;1009
Kern;Tina;OK Komenda;Ž18;;;;;;;;;;;;0;0;647
Anderluh;Katarina Eva;OK Polaris;Ž18;;;;;;;;;*;;;0;0;445
Ferenc;Zala;OK Tivoli;Ž18;;;;;;;;;;;;0;0;506
Jevševar;Jedert;OK Brežice;Ž21B;;;;;6;25;25;20;20;20;;110;22;46
Ferenc;Julija;OK Tivoli;Ž21B;0:29:05;1;25;;;;;25;25;25;25;100;25;409
Vuga Seljak;Alenka;OK Komenda;Ž21B;0:50:15;3;15;25;;20;;;15;12;15;87;17;612
Gombač Šuc;Elena;OK Komenda;Ž21B;dnf;;;12;15;10;6;15;;;-;58;12;945
Malus;Marta;OK Komenda;Ž21B;0:58:21;5;10;20;4;12;7;8;6;7;10;57;11;982
Gantar;Damjana;OK Azimut;Ž21B;;;;15;5;15;;;5;15;;55;11;919
Bogataj;Špela;OK Komenda;Ž21B;0:53:56;4;12;;12;5;15;;8;8;12;55;11;1022
Istenič;Maja;OK Azimut;Ž21B;1:02:06;6;8;10;10;;12;;-;;8;40;10;930
Obid;Maja;OK Azimut;Ž21B;dnf;;;8;8;;5;;10;5;-;36;7;933
Sluga;Neža;OK Polaris;Ž21B;wrongKat;;;;20;;;*;12;;*;32;16;1096
Lampe;Ajda;OK Komenda;Ž21B;;;;*;25;4;*;;;;;29;14;431
Sedej;Katarina;OK Azimut;Ž21B;;;;6;7;;;10;4;;;27;7;992
Draksler;Alja;ŠOK;Ž21B;;;;;;7;20;;;;;27;14;405
Gorjup Poženel;Darja;OK Komenda;Ž21B;1:04:19;7;7;;;3;10;;;6;7;26;6;1025
Kmetec;Tanja;Kamniški OK;Ž21B;;;;4;;8;;12;;;;24;8;1103
Bogataj;Nataša;OK Azimut;Ž21B;1:07:29;8;6;;;-;8;;7;;6;21;7;817
Štanfel;Urša;OK Azimut;Ž21B;0:38:49;2;20;;;;;;;;20;20;20;117
Tušar;Tina;OK Azimut;Ž21B;;;;5;;6;;;;4;;15;5;1121
Česnik Mažgon;Anita;OK Azimut;Ž21B;dnf;;;;;;;;;10;-;10;10;1133
Balažič;Irena;OK Slovenj Gradec;Ž21B;;;;7;;;;;;;;7;7;298
Prezelj;Klavdija;OK Azimut;Ž21B;wrongKat;;;;;;;;;;*;0;0;1070
Batič;Mojca;OK Azimut;Ž21B;;;;;;;;;;;;0;0;1108
Zupan;Lara;OK Komenda;Ž21B;;;;;;*;*;;;;;0;0;762
Šalamun;Ana;OK Polaris;Ž21B;;;;;;;;*;;;;0;0;332
Anžur;Andreja;OK Tivoli;Ž21B;;;;;;;;;;;;0;0;4
Kunc Rešek;Natalija;OK Tivoli;Ž21B;;;;;;;;;;;;0;0;900
Kalan;Petra;ŠOK;Ž21B;;;;;;;;;;;;0;0;141
Bergant;Tjaša;ŠOK;Ž21B;;;;;;;;;;;;0;0;1035
Cankar;Maja;ŠOK;Ž21B;;;;;;;;;;;;0;0;1052
Pretnar;Irma;Kamniški OK;Ž21B;;;;;;;;;;;;0;0;99
Benigar;Lidija;Kamniški OK;Ž21B;;;;;;;;;;;;0;0;277
Flerin Drevenšek;Suzana;Kamniški OK;Ž21B;;;;;*;*;;;;;;0;0;316
Zagorc;Tina;Kamniški OK;Ž21B;;;;;*;*;;;;;;0;0;670
Štrumbelj;Lana;OK Polaris;Ž21B;;;;;;;;;;;;0;0;855
Osterman;Eneja;OK Polaris;Ž21E;;;;25;25;25;25;25;-;20;;125;25;66
Flerin Drevenšek;Mojca;Kamniški OK;Ž21E;0:38:31;1;25;20;20;10;20;;20;;25;105;21;82
Jezeršek;Polona;OK Komenda;Ž21E;0:43:30;4;12;5;-;20;12;12;15;12;12;71;14;715
Zavrl;Zala;OK Komenda;Ž21E;0:41:38;2;20;10;10;;;10;-;10;20;60;12;513
Babič;Katja;OK Komenda;Ž21E;0:46:09;6;8;;;;;;25;25;8;58;19;818
Pogačar;Ana Pia;OK Komenda;Ž21E;0:42:55;3;15;;;;;20;10;8;15;53;13;515
Pribaković Borštnik;Ana;OK Tivoli;Ž21E;0:46:05;5;10;7;8;12;15;8;8;7;10;53;11;23
Poljanšek;Nika;OK Azimut;Ž21E;;;;8;;15;10;7;12;5;;52;10;257
Razpet;Deja;OK Azimut;Ž21E;;;;12;12;;;15;;;;39;13;733
Jeram;Nuša;OK Azimut;Ž21E;;;;15;15;;;;;;;30;15;421
Ravnikar;Monika;OK Komenda;Ž21E;1:01:32;7;7;6;6;8;;;;;7;27;7;357
Serženta Seljak;Zala;OK Azimut;Ž21E;;;;;;-;8;;7;6;;21;7;936
Firešová;Markéta;OK Komenda;Ž21E;;;;;;;;;;15;;15;15;1132
Kmetec;Barbara;Kamniški OK;Ž21E;;;;4;;-;;6;;;;10;5;667
Foški;Tajda;OK Polaris;Ž21E;;;;;7;;;;;;;7;7;129
Gantar;Lara;OK Azimut;Ž21E;;;;;;;;;;;;0;0;673
Jolič;Barbara;OK Komenda;Ž21E;;;;;;;;;;;;0;0;1045
Foški;Brina;OK Polaris;Ž21E;;;;;;;;;-;;;0;0;128
Bernik;Jerca;ŠOK;Ž21E;;;;;;;;;;;;0;0;22
Hribar;Anica;OK Brežice;Ž35;0:46:39;1;25;*;25;15;15;25;25;25;25;125;25;44
Močnik;Tina;OK Komenda;Ž35;0:49:21;2;20;*;;25;20;15;15;;20;95;19;1032
Hacin Kölner;Irena;OK Komenda;Ž35;1:02:11;3;15;*;10;8;10;10;12;15;15;62;12;630
Plavčak;Ana;ŠOK;Ž35;1:05:18;4;12;*;15;12;;;*;20;12;59;15;401
Raj;Nastja;OK Slovenj Gradec;Ž35;;;;*;12;20;12;12;;;;56;14;203
Balažič;Petja;OK Slovenj Gradec;Ž35;;;;*;;10;25;20;;;;55;18;294
Paradiž;Petra;OK Komenda;Ž35;1:34:20;5;10;*;8;7;8;8;-;;10;41;8;912
Foški;Mojca;OK Polaris;Ž35;;;;;20;;;;20;;;40;20;59
